,level_0,index,Gender,Age,Married,NumberofDependents,City,ZipCode,Latitude,Longitude,NumberofReferrals,TenureinMonths,Offer,PhoneService,AvgMonthlyLongDistanceCharges,MultipleLines,InternetService,InternetType,AvgMonthlyGBDownload,OnlineSecurity,OnlineBackup,DeviceProtectionPlan,PremiumTechSupport,StreamingTV,StreamingMovies,StreamingMusic,UnlimitedData,Contract,PaperlessBilling,PaymentMethod,TotalRevenue,CustomerStatus,ChurnCategory
10,10,10,Male,47,No,0,Rancho Santa Fe,92091,32.99356,-117.207121,0,54,No Offer,No,0.0,No PhoneService,Yes,Cable,10.0,Yes,No,No,Yes,Yes,No,No,Yes,Two Year,No,Credit Card,2460.55,Stayed,
11,11,11,Female,25,Yes,2,Sunnyvale,94086,37.378541,-122.020456,2,72,No Offer,Yes,16.01,Yes,Yes,Fiber Optic,59.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,9609.47,Stayed,
12,12,12,Female,58,Yes,0,Antelope,95843,38.715498,-121.363411,0,5,No Offer,Yes,18.65,No,Yes,Fiber Optic,10.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,444.75,Stayed,
13,13,13,Female,32,No,0,La Mesa,91942,32.782501,-117.01611,0,72,Offer A,Yes,2.25,Yes,Yes,Fiber Optic,16.0,Yes,Yes,Yes,No,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,7423.25,Stayed,
14,14,14,Female,39,No,0,Los Olivos,93441,34.70434,-120.02609,0,56,No Offer,No,0.0,No PhoneService,Yes,DSL,19.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,2560.1,Stayed,
15,15,15,Female,58,Yes,2,Woodlake,93286,36.464635,-119.094348,9,71,Offer A,Yes,27.26,Yes,Yes,Fiber Optic,12.0,No,Yes,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,Credit Card,8784.86,Stayed,
16,16,16,Female,52,Yes,1,Point Reyes Station,94956,38.060264,-122.830646,0,34,No Offer,No,0.0,No PhoneService,Yes,DSL,20.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,1993.2,Stayed,
17,17,17,Female,72,No,0,San Marcos,92078,33.119028,-117.166036,0,1,Offer E,Yes,7.77,Yes,Yes,Fiber Optic,22.0,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,79.87,Stayed,
18,18,18,Male,79,No,0,Daly City,94015,37.680844,-122.48131,0,45,No Offer,Yes,10.67,No,Yes,DSL,17.0,Yes,No,Yes,No,No,Yes,No,Yes,One Year,No,Credit Card,3271.65,Churned,Dissatisfaction
19,19,19,Male,67,No,0,Morgan Hill,95037,37.161544,-121.649371,0,1,No Offer,No,0.0,No PhoneService,Yes,Cable,9.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,25.1,Churned,Competitor
20,20,20,Female,79,Yes,0,Ahwahnee,93601,37.375816,-119.739935,0,50,No Offer,Yes,31.43,Yes,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Bank Withdrawal,2877.8,Stayed,
21,21,21,Female,26,Yes,0,Carnelian Bay,96140,39.227434,-120.091806,1,13,No Offer,Yes,43.56,Yes,Yes,Fiber Optic,52.0,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,1781.88,Churned,Other
22,22,22,Female,30,Yes,2,Alpaugh,93201,35.869626,-119.498771,1,23,Offer D,Yes,34.91,Yes,Yes,Fiber Optic,30.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,2652.88,Stayed,
23,23,23,Female,22,No,0,Keeler,93530,36.560498,-117.962461,0,3,No Offer,Yes,3.12,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Credit Card,66.56,Stayed,
24,24,24,Female,34,Yes,0,Korbel,95550,40.7666,-123.80458,0,4,Offer E,Yes,12.43,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Credit Card,126.07,Churned,Price
25,25,25,Female,37,Yes,1,Palomar Mountain,92060,33.309852,-116.823091,1,1,No Offer,No,0.0,No PhoneService,Yes,DSL,19.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,30.5,Churned,Attitude
26,26,26,Female,37,Yes,3,Parlier,93648,36.622237,-119.521126,10,55,No Offer,Yes,35.04,No,Yes,Fiber Optic,57.0,No,Yes,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,7603.95,Stayed,
27,27,27,Male,42,Yes,3,Modesto,95358,37.612612,-121.108568,3,54,No Offer,Yes,19.7,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Credit Card,2154.4,Stayed,
28,28,28,Male,64,No,0,Glen Ellen,95442,38.368744,-122.522642,0,26,Offer C,Yes,37.7,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,Yes,Bank Withdrawal,1430.8,Stayed,
29,29,29,Female,47,Yes,3,Eureka,95503,40.737431,-124.108897,5,69,No Offer,Yes,38.39,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Bank Withdrawal,4045.81,Stayed,
30,30,30,Male,23,Yes,3,Moss Beach,94038,37.515556,-122.502311,1,37,Offer C,Yes,43.01,No,Yes,Fiber Optic,51.0,No,No,No,No,Yes,Yes,Yes,Yes,One Year,No,Credit Card,4838.92,Stayed,
31,31,31,Female,48,Yes,0,Los Angeles,90058,34.001617,-118.222274,5,49,Offer B,Yes,49.58,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Bank Withdrawal,3330.32,Stayed,
32,32,32,Male,28,Yes,0,Los Angeles,90063,34.044271,-118.185237,9,66,No Offer,Yes,43.77,Yes,Yes,Fiber Optic,41.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,10830.97,Stayed,
33,33,33,Female,28,No,0,Calexico,92231,32.690654,-115.431225,0,67,No Offer,Yes,23.12,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Bank Withdrawal,2861.91,Stayed,
34,34,34,Male,33,Yes,1,Redding,96003,40.677649,-122.29467,4,20,No Offer,No,0.0,No PhoneService,Yes,Cable,22.0,Yes,No,Yes,Yes,No,No,No,Yes,Two Year,Yes,Credit Card,825.4,Stayed,
35,35,35,Female,31,No,3,San Martin,95046,37.084697,-121.606417,0,43,No Offer,Yes,30.64,Yes,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,Yes,Bank Withdrawal,2387.67,Stayed,
36,36,36,Female,37,Yes,0,Stockton,95209,38.044523,-121.348048,2,55,Offer B,Yes,5.08,Yes,Yes,Fiber Optic,9.0,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,5239.0,Stayed,
37,37,37,Female,60,Yes,0,Los Angeles,90003,33.964131,-118.272783,4,59,Offer B,Yes,16.39,Yes,Yes,Fiber Optic,14.0,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,6564.66,Stayed,
38,38,38,Female,48,Yes,3,Huntington Park,90255,33.97803,-118.217141,3,12,No Offer,Yes,19.28,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Bank Withdrawal,455.86,Stayed,
39,39,39,Male,60,Yes,3,Yermo,92398,35.013299,-116.834092,7,27,Offer C,Yes,25.26,Yes,Yes,Fiber Optic,23.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,2611.02,Stayed,
40,40,40,Male,69,No,0,San Diego,92129,32.961064,-117.134917,0,2,No Offer,Yes,43.99,No,Yes,DSL,27.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,179.08,Churned,Competitor
41,41,41,Female,20,No,0,Fremont,94539,37.516791,-121.899117,0,27,Offer C,Yes,48.91,No,Yes,DSL,59.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,3399.52,Stayed,
42,42,42,Male,31,Yes,3,Santa Rosa,95405,38.439696,-122.668817,1,25,No Offer,Yes,23.69,Yes,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Credit Card,1178.43,Stayed,
43,43,43,Male,46,Yes,0,San Jose,95126,37.327069,-121.916819,5,25,No Offer,Yes,6.45,No,Yes,Cable,19.0,Yes,Yes,Yes,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,1727.35,Stayed,
44,44,44,Male,57,No,1,Tujunga,91042,34.296574,-118.244839,0,29,No Offer,No,0.0,No PhoneService,Yes,DSL,21.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,1230.19,Stayed,
45,45,45,Male,19,Yes,0,Visalia,93291,36.391777,-119.372842,5,72,No Offer,Yes,32.36,Yes,Yes,DSL,52.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,8646.12,Stayed,
46,46,46,Female,64,No,0,Lodi,95240,38.123544,-121.159078,0,14,No Offer,Yes,24.04,No,Yes,Cable,12.0,No,Yes,No,No,No,No,No,Yes,One Year,No,Credit Card,1064.41,Stayed,
47,47,47,Female,38,No,0,El Portal,95318,37.654551,-119.822984,0,35,Offer C,Yes,36.42,No,Yes,Fiber Optic,2.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,4806.7,Stayed,
48,48,48,Male,54,No,0,Calistoga,94515,38.629618,-122.593216,0,1,Offer E,Yes,42.95,No,Yes,DSL,9.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,87.25,Stayed,
49,49,49,Male,50,No,0,Farmington,95230,37.956963,-120.863055,0,29,No Offer,Yes,2.05,No,Yes,Fiber Optic,17.0,No,No,No,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,2687.05,Stayed,
50,50,50,Male,25,No,0,Tulelake,96134,41.813521,-121.492666,0,64,No Offer,Yes,5.49,Yes,Yes,DSL,69.0,Yes,Yes,Yes,Yes,Yes,No,No,No,One Year,No,Bank Withdrawal,5958.91,Stayed,
51,51,51,Female,35,Yes,3,Coleville,96107,38.42528,-119.475741,1,39,No Offer,Yes,24.38,Yes,Yes,Fiber Optic,53.0,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,4718.22,Stayed,
52,52,52,Female,72,No,0,Ojai,93023,34.581308,-118.931948,0,40,No Offer,Yes,44.14,No,Yes,Fiber Optic,23.0,No,No,No,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,5439.2,Stayed,
53,53,53,Male,51,No,0,Desert Hot Springs,92241,33.832799,-116.250973,0,40,No Offer,Yes,37.69,Yes,Yes,Fiber Optic,15.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,5544.45,Churned,Competitor
54,54,54,Female,78,No,1,North Hollywood,91605,34.207295,-118.400022,0,11,Offer D,Yes,11.59,No,Yes,Fiber Optic,29.0,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,1367.79,Churned,Dissatisfaction
55,55,55,Female,30,Yes,0,Inverness,94937,38.099323,-122.945723,10,6,Offer E,Yes,42.66,Yes,Yes,Cable,85.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,570.51,Stayed,
56,56,56,Male,58,No,0,Santa Rosa,95404,38.526941,-122.709096,0,30,No Offer,Yes,2.64,Yes,Yes,DSL,15.0,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,1967.65,Stayed,
57,57,57,Male,26,No,0,San Jose,95131,37.387027,-121.897775,0,27,No Offer,Yes,20.66,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Bank Withdrawal,1087.62,Stayed,
58,58,58,Male,66,Yes,0,Wilmington,90744,33.782068,-118.262263,3,70,No Offer,Yes,39.49,Yes,Yes,Fiber Optic,28.0,No,Yes,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,10067.14,Stayed,
59,59,59,Female,20,Yes,0,Modesto,95357,37.670526,-120.877572,10,57,Offer B,Yes,8.01,Yes,Yes,Fiber Optic,73.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,6709.27,Stayed,
60,60,60,Male,61,Yes,0,San Diego,92113,32.697098,-117.116587,10,58,No Offer,Yes,18.37,No,Yes,DSL,18.0,No,No,Yes,No,No,No,No,Yes,One Year,No,Credit Card,3933.78,Stayed,
61,61,61,Male,24,No,0,Rancho Palos Verdes,90275,33.753146,-118.367459,0,16,No Offer,Yes,25.71,Yes,Yes,DSL,48.0,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,1623.46,Stayed,
62,62,62,Female,55,Yes,0,Kenwood,95452,38.419525,-122.521585,3,69,Offer A,Yes,38.52,Yes,Yes,Fiber Optic,27.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,10840.73,Stayed,
63,63,63,Male,32,No,0,West Point,95255,38.41935,-120.469545,0,1,Offer E,Yes,31.77,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Bank Withdrawal,51.62,Churned,Attitude
64,64,64,Male,59,No,0,Los Angeles,90062,34.003553,-118.308933,0,1,No Offer,Yes,40.71,Yes,Yes,Fiber Optic,25.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,140.46,Churned,Competitor
65,65,65,Male,71,Yes,1,Morongo Valley,92256,34.097863,-116.594561,9,32,Offer C,Yes,31.86,No,Yes,Fiber Optic,23.0,No,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Mailed Check,3880.97,Stayed,
66,66,66,Male,49,Yes,2,Palo Verde,92266,33.3249,-114.758334,8,16,Offer D,Yes,48.71,Yes,Yes,Fiber Optic,12.0,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,2221.56,Stayed,
67,67,67,Male,61,Yes,0,Valyermo,93563,34.39583,-117.734568,1,49,Offer B,Yes,39.55,Yes,Yes,Cable,10.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,5997.3,Churned,Competitor
68,68,68,Female,40,Yes,0,Cambria,93428,35.591387,-121.032256,2,71,Offer A,No,0.0,No PhoneService,Yes,Cable,29.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,4145.9,Stayed,
69,69,69,Female,39,No,0,Round Mountain,96084,40.923558,-122.059933,0,33,No Offer,Yes,49.69,Yes,Yes,Fiber Optic,12.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,5285.27,Stayed,
70,70,70,Female,21,Yes,0,Klamath,95548,41.572813,-124.035011,9,10,Offer D,Yes,49.6,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Bank Withdrawal,683.75,Stayed,
71,71,71,Male,24,Yes,0,Fresno,93650,36.841655,-119.797113,1,21,No Offer,Yes,36.26,Yes,Yes,Fiber Optic,59.0,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,3198.56,Churned,Attitude
72,72,72,Male,52,Yes,1,Angwin,94508,38.542448,-122.419923,1,37,No Offer,No,0.0,No PhoneService,Yes,DSL,23.0,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,1448.8,Churned,Competitor
73,73,73,Female,71,No,0,Le Grand,95333,37.249377,-120.249581,0,26,No Offer,Yes,33.74,No,Yes,Fiber Optic,7.0,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,3070.89,Stayed,
74,74,74,Male,45,No,0,Redway,95560,40.142256,-123.852927,0,50,Offer B,No,0.0,No PhoneService,Yes,DSL,7.0,Yes,No,No,Yes,No,No,No,Yes,One Year,Yes,Credit Card,1748.9,Stayed,
75,75,75,Female,29,No,0,San Diego,92122,32.85723,-117.209774,0,7,No Offer,Yes,28.62,Yes,Yes,Fiber Optic,26.0,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,698.56,Churned,Competitor
76,76,76,Female,62,Yes,0,Monterey Park,91755,34.049172,-118.115022,1,61,Offer B,Yes,47.19,Yes,Yes,DSL,28.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Mailed Check,8405.34,Stayed,
77,77,77,Male,42,No,0,Big Oak Flat,95305,37.818589,-120.256995,0,15,Offer D,Yes,45.92,No,Yes,Fiber Optic,12.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,2242.75,Churned,Attitude
78,78,78,Female,51,No,2,Stevenson Ranch,91381,34.364153,-118.615583,0,26,No Offer,No,0.0,No PhoneService,Yes,DSL,19.0,Yes,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,1147.0,Stayed,
79,79,79,Male,39,Yes,0,North Highlands,95660,38.671295,-121.388251,9,72,No Offer,Yes,33.22,No,Yes,Fiber Optic,23.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,9139.19,Stayed,
80,80,80,Male,64,Yes,0,La Puente,91746,34.038983,-117.991372,1,44,No Offer,Yes,27.4,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,Yes,Bank Withdrawal,2070.65,Stayed,
81,81,81,Male,55,No,0,Glenhaven,95443,39.045246,-122.743181,0,66,Offer A,Yes,48.78,Yes,Yes,Fiber Optic,8.0,No,Yes,No,No,No,Yes,Yes,No,Month-to-Month,No,Credit Card,9200.36,Stayed,
82,82,82,Female,40,No,0,Alhambra,91803,34.074736,-118.145959,0,2,No Offer,Yes,36.81,No,Yes,Fiber Optic,16.0,Yes,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,255.27,Churned,Competitor
83,83,83,Female,76,No,0,Santa Monica,90403,34.031529,-118.491156,0,44,No Offer,Yes,7.72,No,Yes,DSL,17.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,3589.82,Stayed,
84,84,84,Female,57,No,0,Lodi,95240,38.123544,-121.159078,0,12,Offer D,Yes,14.38,Yes,Yes,Fiber Optic,6.0,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1224.96,Churned,Attitude
85,85,85,Male,71,Yes,0,Los Angeles,90001,33.973616,-118.24902,1,69,No Offer,Yes,18.41,Yes,Yes,Fiber Optic,17.0,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,8904.54,Stayed,
86,86,86,Female,25,No,0,Fairfield,94533,38.287136,-122.02711,0,1,Offer E,Yes,1.23,Yes,Yes,Fiber Optic,69.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,81.43,Churned,Price
87,87,87,Female,24,No,0,Stockton,95204,37.974498,-121.319568,0,3,Offer E,Yes,25.75,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Credit Card,141.0,Churned,Price
88,88,88,Female,19,Yes,0,Temecula,92592,33.507255,-117.029473,10,2,No Offer,Yes,4.65,No,Yes,Fiber Optic,53.0,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,199.8,Stayed,
89,89,89,Female,77,No,0,Fallbrook,92028,33.362575,-117.299644,0,27,No Offer,Yes,2.97,Yes,Yes,Fiber Optic,4.0,No,Yes,Yes,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,2481.24,Stayed,
90,90,90,Male,57,No,0,Randsburg,93554,35.405722,-117.773354,0,26,Offer C,Yes,13.34,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Bank Withdrawal,858.09,Stayed,
91,91,91,Female,73,Yes,0,Atascadero,93422,35.453912,-120.69461,9,39,No Offer,Yes,20.15,Yes,Yes,Fiber Optic,21.0,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,4735.0,Stayed,
92,92,92,Male,41,No,0,Planada,95365,37.329725,-120.306399,0,25,No Offer,Yes,34.88,Yes,Yes,Fiber Optic,8.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,3234.1,Churned,Competitor
93,93,93,Female,43,No,0,Moorpark,93021,34.312945,-118.858169,0,1,Offer E,Yes,39.81,No,Yes,Fiber Optic,23.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,110.71,Churned,Competitor
94,94,94,Male,48,Yes,0,Solvang,93463,34.624399,-120.137875,1,22,Offer D,Yes,27.24,No,Yes,DSL,21.0,Yes,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1751.98,Churned,Attitude
95,95,95,Female,56,No,0,Calistoga,94515,38.629618,-122.593216,0,72,Offer A,Yes,48.37,Yes,Yes,Fiber Optic,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,11979.34,Stayed,
96,96,96,Female,51,No,0,La Mirada,90638,33.902045,-118.008961,0,24,No Offer,Yes,10.64,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,Yes,Bank Withdrawal,725.56,Stayed,
97,97,97,Female,34,Yes,0,Boron,93516,34.95703,-117.73045,8,19,No Offer,Yes,7.84,Yes,Yes,Fiber Optic,16.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1713.36,Stayed,
98,98,98,Male,21,Yes,2,San Marcos,92078,33.119028,-117.166036,2,71,No Offer,Yes,9.2,Yes,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Credit Card,2500.75,Stayed,
99,99,99,Male,78,Yes,0,Desert Center,92239,33.889605,-115.257009,7,33,No Offer,Yes,25.15,Yes,Yes,Fiber Optic,20.0,Yes,No,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,4524.65,Stayed,
100,100,100,Female,60,No,0,Crows Landing,95313,37.435664,-121.049056,0,3,No Offer,Yes,2.69,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Credit Card,66.07,Stayed,
101,101,101,Male,54,Yes,1,Tuolumne,95379,37.939768,-120.188002,7,47,No Offer,Yes,1.09,Yes,Yes,Fiber Optic,13.0,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,4068.68,Stayed,
102,102,102,Male,42,Yes,3,San Diego,92120,32.807867,-117.060993,2,62,No Offer,Yes,1.76,No,Yes,Fiber Optic,20.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,6934.77,Stayed,
